image_path,true_label,condition,pred_label,correct,confidence
./data/processed/test/Abdullah_Gul/Abdullah_Gul_0001.jpg,Abdullah_Gul,original,Abdullah_Gul,True,0.015541949309408665
./data/processed/test/Abdullah_Gul/Abdullah_Gul_0001.jpg,Abdullah_Gul,mask_eyes,Abdullah_Gul,True,0.014957615174353123
./data/processed/test/Abdullah_Gul/Abdullah_Gul_0001.jpg,Abdullah_Gul,mask_nose,Abdullah_Gul,True,0.014086750335991383
./data/processed/test/Abdullah_Gul/Abdullah_Gul_0001.jpg,Abdullah_Gul,mask_mouth,Abdullah_Gul,True,0.01537286676466465
./data/processed/test/Abdullah_Gul/Abdullah_Gul_0001.jpg,Abdullah_Gul,mask_face_oval,Michael_Schumacher,False,0.01106924470514059
./data/processed/test/Abdullah_Gul/Abdullah_Gul_0001.jpg,Abdullah_Gul,mask_outside_face,Abdullah_Gul,True,0.012376435101032257
./data/processed/test/Abdullah_Gul/Abdullah_Gul_0001.jpg,Abdullah_Gul,dark,Abdullah_Gul,True,0.015323319472372532
./data/processed/test/Abdullah_Gul/Abdullah_Gul_0001.jpg,Abdullah_Gul,bright,Abdullah_Gul,True,0.015507606789469719
./data/processed/test/Abdullah_Gul/Abdullah_Gul_0002.jpg,Abdullah_Gul,original,Abdullah_Gul,True,0.015597785823047161
./data/processed/test/Abdullah_Gul/Abdullah_Gul_0002.jpg,Abdullah_Gul,mask_eyes,Abdullah_Gul,True,0.015230621211230755
./data/processed/test/Abdullah_Gul/Abdullah_Gul_0002.jpg,Abdullah_Gul,mask_nose,Abdullah_Gul,True,0.014726807363331318
./data/processed/test/Abdullah_Gul/Abdullah_Gul_0002.jpg,Abdullah_Gul,mask_mouth,Abdullah_Gul,True,0.015489374287426472
./data/processed/test/Abdullah_Gul/Abdullah_Gul_0002.jpg,Abdullah_Gul,mask_face_oval,Arnold_Schwarzenegger,False,0.010776832699775696
./data/processed/test/Abdullah_Gul/Abdullah_Gul_0002.jpg,Abdullah_Gul,mask_outside_face,Taha_Yassin_Ramadan,False,0.012524858117103577
./data/processed/test/Abdullah_Gul/Abdullah_Gul_0002.jpg,Abdullah_Gul,dark,Abdullah_Gul,True,0.015405183658003807
./data/processed/test/Abdullah_Gul/Abdullah_Gul_0002.jpg,Abdullah_Gul,bright,Abdullah_Gul,True,0.01549331471323967
./data/processed/test/Abdullah_Gul/Abdullah_Gul_0006.jpg,Abdullah_Gul,original,Abdullah_Gul,True,0.015431149862706661
./data/processed/test/Abdullah_Gul/Abdullah_Gul_0006.jpg,Abdullah_Gul,mask_eyes,Abdullah_Gul,True,0.015155804343521595
./data/processed/test/Abdullah_Gul/Abdullah_Gul_0006.jpg,Abdullah_Gul,mask_nose,Abdullah_Gul,True,0.013581600971519947
./data/processed/test/Abdullah_Gul/Abdullah_Gul_0006.jpg,Abdullah_Gul,mask_mouth,Abdullah_Gul,True,0.015425560064613819
